,objective_description,objective_formulation,constraint_description,constraint_formulation,labels,description,problem_name
10,"""The goal is to maximize the profit from producing long and short cables""",$\max (\text{ProfitPerLongCable} \times \text{longCables} + \text{ProfitPerShortCable} \times \text{shortCables})$,The number of short cables should be at least ShortCableMultiplier times the number of long cables,$\\text{shortCables} \\geq \\text{ShortCableMultiplier} \\cdot \\text{longCables}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Supply Chain Management']}","There is TotalGold available that is needed to make long and short cables. Long cables require GoldPerLongCable while short cables require GoldPerShortCable. Because of their compact size, the number of short cables should be at least ShortCableMultiplier times the number of long cables. In addition, there needs to be at least MinLongCables made. If each long cable sold results in a ProfitPerLongCable and each short cable sold results in a ProfitPerShortCable, how many of each type of cable should be made to maximize profit?",4
11,"""The goal is to maximize the profit from producing long and short cables""",$\max (\text{ProfitPerLongCable} \times \text{longCables} + \text{ProfitPerShortCable} \times \text{shortCables})$,The number of long cables made should be at least MinLongCables,$longCables \geq MinLongCables$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Supply Chain Management']}","There is TotalGold available that is needed to make long and short cables. Long cables require GoldPerLongCable while short cables require GoldPerShortCable. Because of their compact size, the number of short cables should be at least ShortCableMultiplier times the number of long cables. In addition, there needs to be at least MinLongCables made. If each long cable sold results in a ProfitPerLongCable and each short cable sold results in a ProfitPerShortCable, how many of each type of cable should be made to maximize profit?",4
12,"""The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.""",$\max \text{numAdsZTube} \cdot \text{ViewersZTube} + \text{numAdsSoorchle} \cdot \text{ViewersSoorchle} + \text{numAdsWassa} \cdot \text{ViewersWassa}$,"Total cost of advertisements on all media types (ZTube, Soorchle, Wassa) should not exceed the weekly advertising budget",$CostZTube \times numAdsZTube + CostSoorchle \times numAdsSoorchle + CostWassa \times numAdsWassa \leq Budget$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Retail and E-commerce', 'Marketing and Media']}","A company is deciding where to promote their product across NumMedia types of media. Each medium has a cost and a number of viewers it attracts per advertisement, defined by CostMedia and ViewersMedia respectively. SzoorchleEngine has a maximum number of advertisements constraint, MaxSzoorchleAds. To balance advertising, at most MaxWassaProportion of the total number of ads should be on Wassa, and at least MinZTubeProportion of the total number of ads should be on ZTube. The total weekly advertising budget is defined by Budget. The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.",6
13,"""The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.""",$\max \text{numAdsZTube} \cdot \text{ViewersZTube} + \text{numAdsSoorchle} \cdot \text{ViewersSoorchle} + \text{numAdsWassa} \cdot \text{ViewersWassa}$,Number of advertisements on SoorchleEngine should not exceed MaxSzoorchleAds,$numAdsSoorchle \leq MaxAdsSoorchle$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Retail and E-commerce', 'Marketing and Media']}","A company is deciding where to promote their product across NumMedia types of media. Each medium has a cost and a number of viewers it attracts per advertisement, defined by CostMedia and ViewersMedia respectively. SzoorchleEngine has a maximum number of advertisements constraint, MaxSzoorchleAds. To balance advertising, at most MaxWassaProportion of the total number of ads should be on Wassa, and at least MinZTubeProportion of the total number of ads should be on ZTube. The total weekly advertising budget is defined by Budget. The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.",6
14,"""The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.""",$\max \text{numAdsZTube} \cdot \text{ViewersZTube} + \text{numAdsSoorchle} \cdot \text{ViewersSoorchle} + \text{numAdsWassa} \cdot \text{ViewersWassa}$,Proportion of total number of advertisements on Wassa should not exceed MaxWassaProportion,$\text{numAdsWassa} \leq \text{MaxWassaProportion} \times (\text{numAdsWassa} + \text{numAdsZTube} + \text{numAdsSoorchle})$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Retail and E-commerce', 'Marketing and Media']}","A company is deciding where to promote their product across NumMedia types of media. Each medium has a cost and a number of viewers it attracts per advertisement, defined by CostMedia and ViewersMedia respectively. SzoorchleEngine has a maximum number of advertisements constraint, MaxSzoorchleAds. To balance advertising, at most MaxWassaProportion of the total number of ads should be on Wassa, and at least MinZTubeProportion of the total number of ads should be on ZTube. The total weekly advertising budget is defined by Budget. The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.",6
15,"""The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.""",$\max \text{numAdsZTube} \cdot \text{ViewersZTube} + \text{numAdsSoorchle} \cdot \text{ViewersSoorchle} + \text{numAdsWassa} \cdot \text{ViewersWassa}$,Proportion of total number of advertisements on ZTube should be at least MinZTubeProportion,$\\text{numAdsZTube} \\geq \\text{MinFractionZTube} \\times (\\text{numAdsZTube} + \\text{numAdsSoorchle} + \\text{numAdsWassa})$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Retail and E-commerce', 'Marketing and Media']}","A company is deciding where to promote their product across NumMedia types of media. Each medium has a cost and a number of viewers it attracts per advertisement, defined by CostMedia and ViewersMedia respectively. SzoorchleEngine has a maximum number of advertisements constraint, MaxSzoorchleAds. To balance advertising, at most MaxWassaProportion of the total number of ads should be on Wassa, and at least MinZTubeProportion of the total number of ads should be on ZTube. The total weekly advertising budget is defined by Budget. The goal is to determine the number of advertisements on each type of media to maximize the total audience while adhering to these constraints.",6
16,The goal is to maximize the total profit from producing chairs and dressers.,$\max (\text{ProfitChair} \times \text{numChairs} + \text{ProfitDresser} \times \text{numDressers})$,The total amount of stain used for chairs plus the total amount of stain used for dressers should not exceed the total gallons of stain available per week,$numChairs \times StainPerChair + numDressers \times StainPerDresser \leq TotalStain$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Supply Chain Management']}","A furniture company produces two types of products, chairs and dressers. The profit from each chair is ChairProfit, while the profit from each dresser is DresserProfit. Every week, the company has TotalStain gallons of stain and TotalOakWood lengths of oak wood available. Each chair requires StainPerChair gallons of stain and WoodPerChair lengths of oak wood, while each dresser requires StainPerDresser gallons of stain and WoodPerDresser lengths of oak wood. The goal is to determine the number of chairs and dressers to produce in order to maximize the total profit, given the constraints on the availability of stain and oak wood.",7
17,The goal is to maximize the total profit from producing chairs and dressers.,$\max (\text{ProfitChair} \times \text{numChairs} + \text{ProfitDresser} \times \text{numDressers})$,The total lengths of oak wood used for chairs plus the total lengths of oak wood used for dressers should not exceed the total lengths of oak wood available per week,$\\text{numChairs} \\times \\text{OakWoodPerChair} + \\text{numDressers} \\times \\text{OakWoodPerDresser} \\leq \\text{TotalOakWood}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Supply Chain Management']}","A furniture company produces two types of products, chairs and dressers. The profit from each chair is ChairProfit, while the profit from each dresser is DresserProfit. Every week, the company has TotalStain gallons of stain and TotalOakWood lengths of oak wood available. Each chair requires StainPerChair gallons of stain and WoodPerChair lengths of oak wood, while each dresser requires StainPerDresser gallons of stain and WoodPerDresser lengths of oak wood. The goal is to determine the number of chairs and dressers to produce in order to maximize the total profit, given the constraints on the availability of stain and oak wood.",7
18,"""The goal is to minimize the cost of the mixture of Feed A and Feed B while meeting the required minimum units of protein and fat.""",$\min \left( \text{CostFeedA} \times x_A + \text{CostFeedB} \times x_B \right)$,The mixture must contain at least MinProtein units of protein,$ProteinFeedA \times xA + ProteinFeedB \times xB \geq MinProtein$,"{'types': ['Blending'], 'domains': ['Agriculture and Forestry', 'Food and Beverage']}","A farmer wants to mix his animal feeds, Feed A and Feed B, in such a way that the mixture will contain a minimum of MinProtein units of protein and MinFat units of fat. Feed A costs CostFeedA per kilogram and contains ProteinFeedA units of protein and FatFeedA units of fat. Feed B costs CostFeedB per kilogram and contains ProteinFeedB units of protein and FatFeedB units of fat. Determine the minimum cost of the mixture.",8
19,"""The goal is to minimize the cost of the mixture of Feed A and Feed B while meeting the required minimum units of protein and fat.""",$\min \left( \text{CostFeedA} \times x_A + \text{CostFeedB} \times x_B \right)$,The mixture must contain at least MinFat units of fat,$FatFeedA \\cdot xA + FatFeedB \\cdot xB \\geq FatMin$,"{'types': ['Blending'], 'domains': ['Agriculture and Forestry', 'Food and Beverage']}","A farmer wants to mix his animal feeds, Feed A and Feed B, in such a way that the mixture will contain a minimum of MinProtein units of protein and MinFat units of fat. Feed A costs CostFeedA per kilogram and contains ProteinFeedA units of protein and FatFeedA units of fat. Feed B costs CostFeedB per kilogram and contains ProteinFeedB units of protein and FatFeedB units of fat. Determine the minimum cost of the mixture.",8
20,"""The goal is to maximize the total profit from producing terracotta jars""",$\max ProfitThinJar \cdot numThinJars + ProfitStubbyJar \cdot numStubbyJars$,Total shaping time for all thin jars and stubby jars should not exceed TotalShapingTime minutes,$ShapingTimeThinJar \\times numThinJars + ShapingTimeStubbyJar \\times numStubbyJars \\leq TotalShapingTime$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production']}","An artisan makes two types of terracotta jars: a thin jar and a stubby jar. Each thin jar requires ShapingTimeThinJar minutes of shaping time and BakingTimeThinJar minutes of baking time. Each stubby jar requires ShapingTimeStubbyJar minutes of shaping time and BakingTimeStubbyJar minutes of baking time. Per week, there are TotalShapingTime minutes available for shaping and TotalBakingTime minutes available for baking. The profit per thin jar is ProfitThinJar and the profit per stubby jar is ProfitStubbyJar. How many jars of each type should the artisan make to maximize profit?",9
21,"""The goal is to maximize the total profit from producing terracotta jars""",$\max ProfitThinJar \cdot numThinJars + ProfitStubbyJar \cdot numStubbyJars$,Total baking time for all thin jars and stubby jars should not exceed TotalBakingTime minutes,$numThinJars \times BakingTimeThinJar + numStubbyJars \times BakingTimeStubbyJar \leq TotalBakingTime$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production']}","An artisan makes two types of terracotta jars: a thin jar and a stubby jar. Each thin jar requires ShapingTimeThinJar minutes of shaping time and BakingTimeThinJar minutes of baking time. Each stubby jar requires ShapingTimeStubbyJar minutes of shaping time and BakingTimeStubbyJar minutes of baking time. Per week, there are TotalShapingTime minutes available for shaping and TotalBakingTime minutes available for baking. The profit per thin jar is ProfitThinJar and the profit per stubby jar is ProfitStubbyJar. How many jars of each type should the artisan make to maximize profit?",9
22,"""The goal is to maximize the total profit from preparing banana-haters packages and combo packages""",$\max \big( \text{ProfitBananaHatersPackage} \times \text{quantityBananaHatersPackages} + \text{ProfitComboPackage} \times \text{quantityComboPackages} \big)$,The total number of apples used in banana-haters packages and combo packages should not exceed the stock of apples,$ApplesInBananaHatersPackage \times quantityBananaHatersPackages + ApplesInComboPackage \times quantityComboPackages \leq StockApples$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Packaging'], 'domains': ['Retail and E-commerce', 'Food and Beverage', 'Supply Chain Management']}","A grocery store wants to liquidate its stock of TotalApples apples, TotalBananas bananas, and TotalGrapes grapes. Given past experience, the store knows that they can propose a banana-haters package with ApplesInBananaHaters apples and GrapesInBananaHaters grapes, and that this package will bring a profit of ProfitBananaHaters euros. Similarly, they can prepare a combo package with ApplesInCombo apples, BananasInCombo bananas, and GrapesInCombo grapes, yielding a profit of ProfitCombo euros. They know they can sell any quantity of these two packages within the availability of its stock. What quantity of each package, banana-haters packages and combo packages, should the store prepare to maximize net profit?",10
23,"""The goal is to maximize the total profit from preparing banana-haters packages and combo packages""",$\max \big( \text{ProfitBananaHatersPackage} \times \text{quantityBananaHatersPackages} + \text{ProfitComboPackage} \times \text{quantityComboPackages} \big)$,The total number of bananas used in combo packages should not exceed the stock of bananas,$BananasInComboPackage \\times quantityComboPackages \\leq StockBananas$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Packaging'], 'domains': ['Retail and E-commerce', 'Food and Beverage', 'Supply Chain Management']}","A grocery store wants to liquidate its stock of TotalApples apples, TotalBananas bananas, and TotalGrapes grapes. Given past experience, the store knows that they can propose a banana-haters package with ApplesInBananaHaters apples and GrapesInBananaHaters grapes, and that this package will bring a profit of ProfitBananaHaters euros. Similarly, they can prepare a combo package with ApplesInCombo apples, BananasInCombo bananas, and GrapesInCombo grapes, yielding a profit of ProfitCombo euros. They know they can sell any quantity of these two packages within the availability of its stock. What quantity of each package, banana-haters packages and combo packages, should the store prepare to maximize net profit?",10
24,"""The goal is to maximize the total profit from preparing banana-haters packages and combo packages""",$\max \big( \text{ProfitBananaHatersPackage} \times \text{quantityBananaHatersPackages} + \text{ProfitComboPackage} \times \text{quantityComboPackages} \big)$,The total number of grapes used in banana-haters packages and combo packages should not exceed the stock of grapes,$quantityBananaHatersPackages \cdot GrapesInBananaHatersPackage + quantityComboPackages \cdot GrapesInComboPackage \leq StockGrapes$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Packaging'], 'domains': ['Retail and E-commerce', 'Food and Beverage', 'Supply Chain Management']}","A grocery store wants to liquidate its stock of TotalApples apples, TotalBananas bananas, and TotalGrapes grapes. Given past experience, the store knows that they can propose a banana-haters package with ApplesInBananaHaters apples and GrapesInBananaHaters grapes, and that this package will bring a profit of ProfitBananaHaters euros. Similarly, they can prepare a combo package with ApplesInCombo apples, BananasInCombo bananas, and GrapesInCombo grapes, yielding a profit of ProfitCombo euros. They know they can sell any quantity of these two packages within the availability of its stock. What quantity of each package, banana-haters packages and combo packages, should the store prepare to maximize net profit?",10
25,"""The goal is to maximize the total profit from producing bread and cookies""",$\max (\text{ProfitBread} \times \text{breadProduced}) + (\text{ProfitCookies} \times \text{cookiesProduced})$,The total time the mixer is used to produce bread and cookies must not exceed MaxMixerHours,$breadProduced \cdot MixerTimeBread + cookiesProduced \cdot MixerTimeCookies \leq MaxMixerHours$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}",A bakery uses a stand-mixer and a slow bake oven to make products. Each machine can run for at most MaxHours per year. To produce one unit of bread takes BreadMixerTime time in the stand mixer and BreadOvenTime time in the oven. A unit of cookies requires CookieMixerTime time in the mixer and CookieOvenTime time in the oven. The profit per unit of bread is ProfitBread and the profit per unit of cookies is ProfitCookie. How should the bakery operate to maximize total profit?,11
26,"""The goal is to maximize the total profit from producing bread and cookies""",$\max (\text{ProfitBread} \times \text{breadProduced}) + (\text{ProfitCookies} \times \text{cookiesProduced})$,The total time the oven is used to bake bread and cookies must not exceed MaxOvenHours,$breadProduced \\cdot OvenTimeBread + cookiesProduced \\cdot OvenTimeCookies \\leq MaxOvenHours$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}",A bakery uses a stand-mixer and a slow bake oven to make products. Each machine can run for at most MaxHours per year. To produce one unit of bread takes BreadMixerTime time in the stand mixer and BreadOvenTime time in the oven. A unit of cookies requires CookieMixerTime time in the mixer and CookieOvenTime time in the oven. The profit per unit of bread is ProfitBread and the profit per unit of cookies is ProfitCookie. How should the bakery operate to maximize total profit?,11
27,"""The goal is to maximize the total profit from producing regular and tempered glass panes.""",$\max (\text{ProfitRegular} \times \text{numRegularPanes} + \text{ProfitTempered} \times \text{numTemperedPanes})$,The total time used on the heating machine should not exceed MaxHeatingTime minutes per day,$HeatingTimeRegular \cdot numRegularPanes + HeatingTimeTempered \cdot numTemperedPanes \leq MaxHeatingTime$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production']}",A factory makes two types of glass panes: a regular glass pane and a tempered glass pane. Both require time on a heating and cooling machine. Both machines are available for a maximum of MaxHeatingTime minutes per day for the heating machine and MaxCoolingTime minutes per day for the cooling machine. It takes HeatingTimeRegular minutes in the heating machine and CoolingTimeRegular minutes in the cooling machine to make one regular glass pane. It takes HeatingTimeTempered minutes in the heating machine and CoolingTimeTempered minutes in the cooling machine to make one tempered glass pane. The profit per pane of regular glass is ProfitRegular and the profit per pane of tempered glass is ProfitTempered. How many panes of each glass type should the factory make to maximize profit? What is the maximum profit?,12
28,"""The goal is to maximize the total profit from producing regular and tempered glass panes.""",$\max (\text{ProfitRegular} \times \text{numRegularPanes} + \text{ProfitTempered} \times \text{numTemperedPanes})$,The total time used on the cooling machine should not exceed MaxCoolingTime minutes per day,$\text{numRegularPanes} \times \text{CoolingTimeRegular} + \text{numTemperedPanes} \times \text{CoolingTimeTempered} \leq \text{MaxCoolingTime}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production']}",A factory makes two types of glass panes: a regular glass pane and a tempered glass pane. Both require time on a heating and cooling machine. Both machines are available for a maximum of MaxHeatingTime minutes per day for the heating machine and MaxCoolingTime minutes per day for the cooling machine. It takes HeatingTimeRegular minutes in the heating machine and CoolingTimeRegular minutes in the cooling machine to make one regular glass pane. It takes HeatingTimeTempered minutes in the heating machine and CoolingTimeTempered minutes in the cooling machine to make one tempered glass pane. The profit per pane of regular glass is ProfitRegular and the profit per pane of tempered glass is ProfitTempered. How many panes of each glass type should the factory make to maximize profit? What is the maximum profit?,12
29,Maximize the total profit from producing Elephants and Tigers,$\max (\text{ProfitPerElephant} \cdot \text{numElephants} + \text{ProfitPerTiger} \cdot \text{numTigers})$,Total amount of wood used for making Elephants and Tigers should not exceed the AvailableWood,$\\text{WoodRequirement}[0] \\times \\text{numElephants} + \\text{WoodRequirement}[1] \\times \\text{numTigers} \\leq \\text{AvailableWood}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Retail and E-commerce']}","A shop makes two types of souvenirs, Elephants and Tigers. Each Elephant requires WoodPerElephant amount of wood and PlasticPerElephant amount of plastic. Each Tiger requires WoodPerTiger amount of wood and PlasticPerTiger amount of plastic. The shop has TotalWoodAvailable amount of wood and TotalPlasticAvailable amount of plastic available each week. The profit from selling one Elephant is ProfitPerElephant, and the profit from selling one Tiger is ProfitPerTiger. Determine the number of Elephants and Tigers to make to maximize the total profit.",13
30,Maximize the total profit from producing Elephants and Tigers,$\max (\text{ProfitPerElephant} \cdot \text{numElephants} + \text{ProfitPerTiger} \cdot \text{numTigers})$,Total amount of plastic used for making Elephants and Tigers should not exceed the AvailablePlastic,$PlasticRequirement[0] \\times numElephants + PlasticRequirement[1] \\times numTigers \\leq AvailablePlastic$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Retail and E-commerce']}","A shop makes two types of souvenirs, Elephants and Tigers. Each Elephant requires WoodPerElephant amount of wood and PlasticPerElephant amount of plastic. Each Tiger requires WoodPerTiger amount of wood and PlasticPerTiger amount of plastic. The shop has TotalWoodAvailable amount of wood and TotalPlasticAvailable amount of plastic available each week. The profit from selling one Elephant is ProfitPerElephant, and the profit from selling one Tiger is ProfitPerTiger. Determine the number of Elephants and Tigers to make to maximize the total profit.",13
31,"""The goal is to determine the optimal investment in apartments and townhouses to maximize profit.""",$\max \left( \text{investmentApt} \times \text{ReturnRateApt} + \text{investmentTown} \times \text{ReturnRateTown} \right)$,Investment in apartments must not exceed MaxInvestApt,$investmentApt \\leq MaxInvestApt$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Finance and Banking']}","The family has TotalInvest amount of money to invest, with some in apartments and the rest in townhouses. The amount of money invested in apartments must not exceed MaxInvestApt. The investment in apartments must be at least a MinRatioInvestAptToTown times the investment in townhouses. The return rate for investment in apartments is ReturnRateApt, and the return rate for investment in townhouses is ReturnRateTown. The goal is to determine the optimal investment in apartments and townhouses to maximize profit.",15
